65000 64999
236 39199 33307
237 37485 51788
237 61801 6560
238 17591 61269
238 32688 13003
239 16606 57914
239 27971 40074
240 64048 57469
241 347 2589
242 47953 18343
243 63853 34614
244 52159 21352
245 21160 54718
245 31353 4327
246 3984 19706
246 37703 47727
247 50250 20491
248 10427 11018
249 46716 23024
250 27399 59747
251 10603 64616
251 58372 59788
252 35109 43014
252 53168 26804
253 42373 32692
253 48556 13004
254 16933 33711
254 32817 260
254 60832 17251
255 2126 10166
256 1748 62463
256 32606 3999
257 28329 38900
257 52684 13925
258 48056 62697
258 56539 43531
258 56785 50575
259 52757 12702
260 18002 984
261 25387 9412
261 44105 28242
262 5114 1411
263 60701 51594
264 26390 19189
264 48231 27807
264 55369 30690
265 13128 28829
265 44339 38857
265 55886 5426
266 8853 11743
266 32308 15403
267 27741 39465
268 9414 43395
268 38716 4299
269 18271 58566
270 10112 23562
271 47744 14835
272 44651 13722
272 59196 38512
273 6984 37917
273 7204 48549
273 20501 24850
274 19534 13292
274 24050 599
274 58412 46622
275 32663 33022
275 51324 44943
276 17903 10149
277 22872 63368
277 32165 57746
277 48304 35823
278 6187 23915
278 21091 11502
278 48792 60995
279 61521 46207
280 47383 50811
280 53001 52235
281 42292 8635
282 38212 51821
283 4629 35449
283 33839 36896
284 6752 35583
284 13363 42080
285 52535 48539
285 53700 804
285 53913 18082
286 11680 24790
286 29622 11824
286 43020 17704
286 44734 36402
287 10099 58709
288 19564 2215
288 62799 41152
289 26090 62324
290 41609 59178
291 16964 61994
291 24331 12272
292 13517 63464
292 19358 52816
292 48662 52598
292 61091 49698
293 3320 40442
293 21303 25329
294 11007 60137
294 23455 49868
295 36339 25251
296 11315 51271
296 13438 17158
296 61195 18348
297 6727 46825
297 29393 49040
297 39521 15106
298 4230 58627
299 22997 50862
299 33428 37540
300 2552 49934
300 14716 1600
300 52608 61807
300 59265 41009
301 13154 4314
301 27555 46093
301 29765 43499
302 12706 10297
303 15876 39915
303 20042 56268
303 38413 34569
304 18240 31185
304 36473 38078
305 6918 7542
305 61983 59796
306 13828 28893
306 58717 9739
306 63927 21949
307 31732 641
307 48986 22777
308 7972 20072
308 58802 57780
309 5061 20697
309 5647 16873
309 14920 1897
309 37417 17185
310 4652 47555
310 5934 10825
310 32487 36567
310 57105 45056
311 5635 58138
311 18009 37985
312 5274 23127
312 11390 56132
312 62436 25284
313 54180 5437
314 35216 44738
315 46813 10836
315 47535 39788
316 588 16970
316 8460 20541
317 9602 55334
318 21497 16696
318 50496 34102
319 4565 54919
319 26418 41176
319 37460 52215
320 44471 27288
321 61170 50057
322 17768 33358
323 33673 36692
323 49762 10174
324 17273 7917
324 57300 62776
324 61390 15132
325 22350 17549
325 50082 15413
326 18196 4009
326 38942 38122
327 6132 32648
327 64155 3851
328 23313 36198
329 15142 23362
329 36368 38516
329 58381 8685
330 24309 17863
330 27109 19793
331 4266 15449
332 9754 50134
332 27066 59487
332 40893 8223
333 28006 7678
333 34390 39082
334 10596 48163
334 63662 18257
335 2422 23110
335 5337 6655
335 10166 43792
335 18282 27974
336 43914 59528
337 3397 20344
337 38998 21460
338 24298 46624
338 24891 46325
338 52176 49361
339 15696 1307
339 50627 44172
339 61008 8994
340 5683 19334
341 10876 41003
341 25405 12672
341 51408 37602
342 14180 2284
342 16995 23186
342 47466 11671
343 43639 4474
344 5729 47921
344 43351 64981
345 42800 7211
346 17164 28574
346 21255 48939
346 38973 13562
346 56081 33975
347 1521 26478
347 11165 64028
347 48196 63956
348 4326 32273
349 49175 22032
349 49220 26169
350 6061 9290
350 14657 42407
351 23456 36094
352 24665 40612
353 51276 9106
354 59503 1625
355 13353 55774
355 34710 37510
355 35652 16066
355 40974 18917
355 56141 2230
356 5480 16014
356 34981 40758
356 61504 18459
357 60505 30192
358 30477 55533
358 32019 12493
359 9626 33300
360 34813 48987
360 39831 31897
361 55183 4220
362 12990 28821
362 30290 23951
363 2486 47672
363 10356 6927
364 56356 34559
365 8155 49936
365 21747 27961
366 17394 21044
366 28860 48585
366 62169 25333
367 15731 56895
367 22755 39643
367 31140 27346
367 50696 61882
367 52752 8850
368 16634 55103
368 37738 54679
368 48305 9438
369 12231 10943
370 10614 14429
370 61343 59082
370 62639 19335
371 28932 12785
372 37422 29823
372 51978 1777
373 16592 3483
374 1985 8981
374 64747 32
375 62647 25974
376 6910 13636
376 40489 12929
376 44974 11439
377 32386 16734
378 13149 48355
378 40528 39850
379 24086 45472
380 11813 45315
380 16302 5760
380 32630 4632
380 34959 16116
381 34453 60855
382 6180 3835
382 62602 56407
383 7060 43158
383 23652 33774
384 31624 43882
384 63433 52934
385 12260 16534
385 22771 51117
386 38870 53546
386 58066 23857
387 8603 14124
387 33181 58674
387 62509 10217
387 64507 45882
388 24868 3597
389 2018 16492
389 50634 7043
390 42968 23714
390 48851 60848
391 12264 18711
391 38351 2847
391 39285 55942
392 48329 56899
393 2277 29875
393 48093 6286
393 59526 60478
394 21531 57566
394 34532 63719
394 64735 41887
395 26024 64246
395 28479 54050
396 28139 2868
396 39145 35364
397 3736 30565
397 17234 62074
397 46295 32271
397 54020 21877
398 37841 41529
399 34191 17465
399 53072 35409
400 11142 1485
401 32108 20565
401 50356 7990
402 23876 27463
402 35082 54503
402 37747 19984
402 52587 34179
403 9313 21182
403 12091 60273
403 12555 40896
403 38346 21759
404 30408 29031
404 56063 34532
405 8331 45873
405 8775 64739
405 21540 24955
406 23758 40135
406 32103 63630
406 32357 38674
406 54375 17718
407 60228 57571
408 26421 50116
409 44945 12386
409 46043 54257
410 61743 48497
411 11442 28942
411 13217 30977
412 11872 40949
412 43156 19937
412 61139 33006
413 29562 34449
414 50489 6559
414 56836 40424
414 63639 58963
415 60639 44135
416 31362 12055
417 6068 28994
417 25619 13630
418 48592 6844
419 58068 17206
420 2853 37297
420 13510 54521
420 62455 51707
421 64495 59601
422 57600 30266
422 63858 8498
423 19443 63705
423 30883 1863
424 63748 155
425 28678 58584
425 48474 62718
426 17505 21412
427 54843 14047
428 60571 33306
429 10414 62399
429 13712 13950
429 23789 19281
430 14498 19965
430 21749 60641
430 30909 22973
431 24048 31883
431 47152 48024
432 61671 20194
433 4055 40752
433 13445 20527
433 56074 63059
433 63948 20391
434 13119 30206
435 21977 52743
436 13141 48484
436 32415 56881
436 52962 6811
437 22972 32780
437 44849 13713
438 9651 13138
438 38522 55226
439 6624 37761
439 52237 26556
440 42946 14087
440 56697 40139
441 42279 53097
442 38923 38931
443 25392 13059
443 43334 2131
443 59572 6709
444 14417 2651
444 52143 6116
445 62412 53943
446 21839 10401
446 55546 44390
447 35535 13783
447 51297 8375
448 4515 2584
449 18030 26397
449 20965 41458
449 35563 1967
449 62112 39297
450 1501 40249
450 25692 43881
451 17849 11014
452 45134 43309
452 47107 4842
452 47590 29219
453 46537 13632
453 54314 18761
454 37942 47640
454 48115 55261
455 11759 30736
455 24116 37922
456 7121 22721
457 8802 6769
458 41980 36118
458 46776 37694
458 57199 2987
458 59869 60244
459 46215 23724
460 56815 420
461 10400 48154
462 58653 22400
463 30161 55638
464 14380 2061
465 18941 21858
465 36919 43858
465 37239 33656
466 15868 21380
467 26709 38615
468 15975 14632
469 14171 2387
469 17443 18954
469 53486 19736
469 62919 21509
470 12298 9559
470 14712 23052
470 22320 34740
470 51584 55441
471 37830 5390
471 45314 7903
472 42226 47709
472 61493 62171
473 38666 37391
474 63313 50452
475 8079 24335
475 32396 24437
476 19061 60064
476 56053 22922
477 63256 45183
478 27093 6156
478 64647 12267
479 19906 3476
479 26432 38269
480 56000 48298
481 7129 50920
481 8344 2447
482 12025 5111
482 28770 5060
482 36656 13802
483 56836 38909
483 61752 10731
483 63844 36182
484 973 455
485 6198 27659
485 29976 28273
485 36164 12175
486 15329 31601
487 27411 23287
487 52891 54585
488 24483 11274
489 21813 52839
489 22923 38459
489 39935 33605
490 11211 45307
490 11719 58642
490 32213 50809
491 33036 47032
491 48593 7897
492 1650 12487
493 4074 14368
493 28381 50769
494 7738 4645
494 9625 42956
494 37306 63010
495 62671 8754
496 2554 246
496 15623 22017
496 18021 34368
496 22940 26619
496 40008 27281
497 44393 46391
497 53097 47033
498 14958 46765
498 34182 22415
499 50519 26051
500 45337 47259
500 58360 53755
501 38134 25998
501 49359 14897
501 52369 8157
502 9128 34797
502 56705 9681
503 19122 37030
503 57067 18432
504 1688 64675
504 20366 19366
504 56057 44161
505 42615 5476
506 59962 27184
507 26917 20216
507 40847 37642
507 63504 23722
507 64906 2760
508 27352 20571
508 42983 2060
508 62126 9308
509 3473 55770
509 8707 15497
509 9212 3721
509 13840 29659
510 4980 53534
510 34272 48579
511 39435 28809
511 61239 36481
512 25083 16336
513 33526 63706
513 34944 3480
513 36324 9045
513 63490 23575
514 41149 61556
514 53000 39069
515 1855 38638
515 5944 4797
515 13992 22034
515 46235 4998
516 26552 45491
516 58522 63666
517 32823 41897
517 46169 34639
518 15453 27297
519 7922 4258
519 15076 37759
519 38862 41837
520 63760 49047
521 28942 320
522 1032 5871
523 3134 16906
524 10494 6325
524 44982 26897
525 14977 9554
525 55670 51039
526 5305 12882
526 33881 42614
526 61900 35168
527 27536 34319
527 38309 23865
527 59872 14203
528 878 63737
528 27544 37196
529 7856 56460
529 33203 46696
529 39621 19840
530 32740 43278
531 60293 49525
532 38163 57781
532 49703 43810
532 50704 1192
533 59612 11380
533 61326 40000
534 4503 37597
534 63807 28233
535 15296 8273
535 25431 8980
535 48044 51416
535 54423 64520
536 4037 41990
536 51427 4639
536 64833 17403
537 52466 3516
538 30273 25067
538 52904 41543
539 2661 35310
540 20739 56936
540 63332 44073
541 5129 29569
541 53187 21450
542 3764 38241
543 8982 40793
543 35945 31848
544 11415 764
544 46706 18964
544 50312 4292
545 7055 59587
545 13907 61710
546 19902 15254
547 29688 23264
547 57488 45877
547 60552 38502
548 22708 47248
549 1079 5835
549 26687 35757
550 805 12039
550 6948 4877
550 9645 18049
550 25205 25865
550 40167 11695
550 48877 3685
551 24761 20032
551 28055 61633
552 30843 35641
552 37063 27885
552 58425 4559
553 2674 17255
553 16065 41260
553 18697 273
553 60346 57850
554 16994 28535
554 41669 27998
555 45066 8158
556 53630 62269
557 35330 11728
557 40706 55088
557 40796 21550
558 33401 61945
558 52912 12725
559 35893 52084
559 62114 32475
560 16544 15069
561 32026 32425
561 55040 42548
561 59867 25006
561 63542 31002
562 22848 28638
563 9840 4773
563 56884 63671
563 57211 33486
564 51805 59415
564 58654 38390
565 32616 16865
565 38239 37459
566 29137 42500
566 58382 37836
567 23592 47404
567 62641 38356
568 26228 6127
568 31950 9762
569 45246 59170
569 50116 64587
570 56861 62212
571 24550 27816
573 40802 9886
573 43418 29275
574 4462 24165
575 992 19235
575 43745 27788
576 40549 60768
577 54623 26011
578 6495 32535
578 17157 12565
578 17604 57868
578 25308 25043
579 27253 32945
579 48852 44777
580 25313 4139
581 50246 31010
581 56980 46417
582 5922 1065
582 15632 47175
582 48906 403
583 2380 25792
583 26048 34223
583 60836 26365
584 23167 286
585 10319 44519
585 18408 10036
586 24037 26074
586 41501 56828
587 23586 64803
587 30415 2086
587 58930 12529
587 59648 60194
588 50797 2945
589 31755 55342
590 23557 351
590 46788 63263
590 49177 15858
591 43958 24309
592 1101 51365
592 21950 52966
593 36954 15656
593 51485 18079
593 64261 60611
594 52258 26669
595 1478 62396
595 15227 38874
595 15911 51984
596 9043 21224
596 57059 58315
597 29532 50542
597 31885 18880
597 63359 40199
598 1877 33428
599 36447 34112
599 43874 16546
600 12612 61842
600 38023 48428
601 12126 2845
601 44668 59509
602 14017 63985
602 62512 23754
603 8229 46506
604 44347 30853
604 54763 14980
605 35155 25813
605 45238 38465
606 49103 30904
606 53342 7888
607 767 32556
607 25063 58781
608 34002 18260
608 41052 50190
609 11381 38866
610 2265 36018
610 51298 28571
611 19176 54449
611 61822 2684
612 8380 53726
612 28069 10841
612 60501 52642
613 33535 15275
613 51432 62254
614 22058 34012
614 48325 13611
615 33023 15972
615 48569 58235
616 4661 59527
617 49062 18788
617 52134 11998
618 57527 34944
618 61727 60324
619 35961 56048
620 8528 1623
620 52380 35044
621 18631 47247
621 33180 59364
621 48960 8148
621 55553 36430
622 29116 21983
622 63524 40323
623 9255 5928
623 30645 43937
623 35005 20857
623 41929 22051
624 645 37867
624 17458 1659
625 35036 12307
625 41154 54307
625 41603 15200
626 21965 25692
626 47090 51468
626 51177 42139
626 52940 34969
627 17075 42862
628 19085 15309
628 50986 16676
629 5330 50981
629 49206 63908
630 2930 9312
631 11498 27017
631 20827 46300
631 43669 3226
632 12996 13200
632 42841 59392
632 48819 52561
633 48197 21729
633 51871 54682
633 56108 16046
634 26599 39
635 56054 49588
635 62668 4942
636 43065 15365
636 63837 52609
637 17474 5189
637 42595 17342
637 52439 32052
638 35471 30394
638 52762 3333
639 46260 11428
639 51603 63321
640 61970 55590
641 40760 50717
642 19873 38463
642 33885 17553
643 4554 48577
643 19593 31243
643 34445 10058
644 13572 35785
644 45921 26914
644 64958 56154
645 12335 14910
645 51146 7203
645 51454 62063
646 13519 38852
646 44520 11066
646 58416 40212
647 3273 34949
647 54959 41007
648 28215 43904
649 10455 6523
650 44779 15220
650 59871 21665
651 13006 57400
651 23554 45083
651 30894 64640
651 32733 43255
651 61650 15770
652 36926 26879
653 14853 29705
653 18962 21711
653 33265 10285
654 25252 37082
654 38597 38396
655 22307 55682
656 58393 33627
657 18370 7831
657 44566 188
658 9513 38830
658 29075 19131
658 62356 17838
658 64093 39522
659 6080 15552
660 64048 50403
660 64902 18728
661 36498 39592
662 29939 47443
662 39252 45783
662 63483 19319
663 15155 50191
663 39203 44881
664 13818 35155
664 16122 11685
664 35577 2330
664 35878 45418
664 36595 17892
665 13934 51695
666 18801 52872
667 55133 26614
668 49685 59878
669 8498 43289
669 17067 45548
669 41715 48742
669 41886 52481
669 55186 62266
670 23505 51360
670 29339 44603
670 35377 2827
671 17481 15009
671 34225 4853
672 906 25511
673 29859 20233
673 60225 46466
674 63918 58146
675 37631 58402
675 42785 19692
675 63859 57605
676 12609 15072
676 37488 30021
676 41489 28833
676 61248 59980
677 16272 40056
678 10664 2432
678 12542 51198
679 19538 52035
679 22774 42288
680 58870 43594
681 45121 50807
682 23673 23040
684 4302 38681
684 15495 51936
684 19575 44479
685 3641 40697
685 25365 8108
685 58054 5327
686 39392 40485
687 10594 47650
688 6189 15446
688 9049 32083
689 7444 54956
689 25614 35254
690 32338 15657
690 57991 21115
691 15621 57314
691 15860 57139
691 55907 53006
691 63541 18316
692 24254 55128
692 41235 13337
692 49862 44712
693 21326 23165
693 38048 12705
694 19776 8842
695 16905 60936
696 33098 54544
696 33177 4611
697 11344 64667
697 16751 44156
697 58045 38454
697 60063 38386
698 10450 34294
699 1148 27719
699 25142 718
699 58165 59733
700 6880 8674
700 13112 7029
700 36111 13739
700 64165 41925
701 28374 11154
701 29773 19759
701 31213 16939
702 1801 57729
703 13217 63035
703 16911 21828
703 18388 54972
704 33124 44217
704 43399 62298
705 10983 39732
706 12819 23739
706 18136 40829
706 20510 50956
706 22030 19147
707 11478 54199
707 56164 26142
708 3222 39836
708 9869 64760
709 36469 63060
710 44695 24885
710 49241 45887
710 56671 56756
711 2089 51722
711 16334 31671
712 13389 23810
712 64800 56915
713 13653 50783
713 44343 27149
714 27536 7457
715 44940 523
716 14358 19249
716 21206 16373
716 37104 59853
716 54999 51161
717 7326 55677
717 32278 4633
717 41477 57902
718 3281 14108
718 16530 37880
719 13729 57339
719 15198 58846
720 23831 5534
721 28994 7114
722 1392 12353
722 16318 13914
722 20280 42266
722 47576 10824
722 59830 35192
723 11164 51666
723 28214 2890
723 28840 24115
723 35341 41938
724 15685 24574
724 21149 15985
725 36484 43214
725 55393 39351
726 24600 9628
726 30501 55412
727 20714 62344
727 23770 8093
727 32681 33361
727 36553 64829
728 3492 53487
728 24159 38881
728 27844 46475
728 57599 46531
729 25454 45038
730 35727 60703
731 41288 52670
732 3522 45990
732 48089 14328
733 36617 56641
733 63105 22238
734 17521 39549
735 28755 39266
735 37841 57134
735 44070 53242
736 5334 22270
736 19716 45483
736 32868 24925
736 33454 8437
737 17169 3824
737 45300 26367
737 51456 63487
738 46926 34091
738 58936 13863
739 3741 35459
739 14763 55897
739 21156 29128
739 40215 15762
740 18257 42317
740 47853 59791
741 27116 33995
741 48420 2356
741 53144 47879
742 11376 9896
742 63975 19685
743 44203 57531
743 53777 62062
743 58063 10665
744 16129 23174
744 41626 32468
745 18425 8662
745 19796 32887
746 4094 31213
746 34107 61302
746 55299 27761
747 14665 14630
748 63298 45451
749 22609 62061
749 56867 38036
749 58866 37849
750 16665 15004
750 17845 49550
751 26675 40526
751 39881 25950
752 17231 5510
752 17431 15502
753 33988 52960
754 31481 46152
754 39156 27136
755 13072 12324
755 15146 19892
755 61129 40529
756 13013 24757
757 44588 37840
757 54184 58089
758 50997 37958
758 64053 59874
759 63207 35088
760 16220 43909
760 17861 4118
761 2819 11003
761 60442 35954
762 12931 52532
763 20523 12512
763 38619 50552
764 21077 43132
765 4332 28859
765 26004 2235
765 38679 20014
766 9090 23288
766 31732 6010
766 35857 62157
766 37828 43633
767 14583 28442
768 13747 10586
768 49768 20159
769 37478 33646
769 38332 20671
769 53515 5001
770 45477 49691
771 58390 41231
771 63854 7110
772 60318 5155
773 30642 38817
774 45172 48225
775 40335 10849
776 25444 4343
777 42017 36935
778 32605 3151
779 10748 101
780 4480 51395
780 26009 28912
781 1554 51443
781 22923 61234
782 13561 40253
783 45319 46232
784 19096 19032
784 56271 59918
785 9685 5591
785 33532 52820
785 37032 30499
785 41554 25722
786 4164 38825
786 20107 53249
786 44252 32640
786 59417 280
786 64300 20778
787 1257 49764
787 22737 15303
787 63272 56672
788 7153 55026
788 46580 24291
789 32141 32011
789 58685 46176
790 12238 29404
790 34822 19333
791 44304 9664
791 47426 21010
791 52980 26474
792 59848 22810
793 16532 1018
793 18740 59721
793 48169 57562
794 22645 25222
795 44096 49482
795 55840 40610
796 29508 13372
796 57074 10339
797 13877 6475
797 15149 28294
798 56021 26123
799 22029 28645
799 32342 17672
800 20509 62524
800 27692 58859
800 36143 6183
801 14812 38586
801 39382 14812
802 3284 3720
803 23727 14997
804 48992 48416
805 37952 37714
806 17958 41514
807 44904 32413
808 48461 46808
808 54444 45205
809 15259 57495
809 20741 19377
810 17259 29069
810 19153 55910
811 13078 42178
811 15374 41484
811 51417 27631
812 56342 18758
812 60784 14775
813 33852 11212
813 37932 59836
813 38011 19040
813 54767 16101
814 8398 24912
814 32452 33900
814 36094 15462
814 52156 60430
815 32444 2027
816 24769 32278
816 36573 33814
816 47290 18038
817 20888 34144
817 33895 14082
818 36118 53470
818 40042 33652
819 3578 46490
819 55223 55464
820 15932 36913
820 32653 15873
821 23033 24486
821 44517 14151
821 49436 25106
821 57209 64889
822 14663 16894
822 40563 5468
822 48068 15699
822 55526 44112
823 22574 41926
824 37773 35581
825 34021 51273
826 10266 31312
826 11332 40956
826 15182 60242
826 35140 32658
827 24038 14471
827 24806 14029
827 55971 41160
828 10635 4438
828 36669 14422
828 54213 7425
829 50915 51814
829 55525 29007
830 28505 64710
831 26373 10321
831 32230 63169
831 43446 7713
831 48512 47045
831 53820 30650
831 54491 9677
831 62064 45044
832 51700 36825
832 62189 42636
833 45485 36407
833 64470 20080
834 3152 18119
835 58327 24637
836 59977 64220
837 16359 53163
837 37555 61870
838 5267 24420
838 24039 32515
838 25228 53840
839 21631 55275
839 29267 50686
839 60035 58663
839 64410 39614
840 16234 20800
840 60719 45255
841 3186 33271
841 30427 23382
841 61782 56049
842 42365 34474
843 3581 9849
844 13051 15900
844 59571 20267
845 28601 55516
845 33274 12836
846 13538 9562
846 34829 10547
846 54238 27464
847 36295 38652
847 36570 10830
848 20406 5023
848 50721 31145
849 1109 45348
849 8394 53746
849 43551 58628
849 44195 40413
850 7840 43032
850 10618 38767
851 10960 19968
851 15648 55009
851 17182 14823
852 15607 45262
852 33125 8494
852 52796 57972
853 12882 2523
853 31001 33043
854 9191 36301
854 44739 6006
854 61297 34798
855 26788 56978
856 62480 39560
857 24431 60337
857 26659 20230
858 4605 47283
859 47062 52144
860 9710 51243
860 63687 52381
860 64370 42130
861 2496 49435
861 35027 48631
862 17458 38207
862 47006 63919
863 32201 35702
864 6652 5433
864 35938 17418
865 33817 7669
866 18310 31209
866 23313 13438
867 12698 47336
868 58076 20968
